Threshold, true_predicted/total=recall, predicted_known/total_predicted, true_predicted/total_predicted=precision, F1
0.0,1216/1216=1.000,11321/138522,1216/138522=0.0088,0.0174
0.1,1216/1216=1.000,8567/85342,1216/85342=0.0142,0.0281
0.2,1210/1216=0.995,7103/56620,1210/56620=0.0214,0.0418
0.3,1197/1216=0.984,6296/36878,1197/36878=0.0325,0.0628
0.4,1175/1216=0.966,5608/26017,1175/26017=0.0452,0.0863
0.5,428/1216=0.352,4737/14951,428/14951=0.0286,0.0529
0.6,422/1216=0.347,4183/11584,422/11584=0.0364,0.0659
0.7,396/1216=0.326,79/6844,396/6844=0.0579,0.0983
0.8,396/1216=0.326,37/1193,396/1193=0.3319,0.3288
0.9,396/1216=0.326,0/853,396/853=0.4642,0.3828
