Threshold, true_predicted/total=recall, predicted_known/total_predicted, true_predicted/total_predicted=precision, F1
0.0,1216/1216=1.000,11321/138522,1216/138522=0.0088,0.0174
0.1,1216/1216=1.000,8565/85456,1216/85456=0.0142,0.0281
0.2,1210/1216=0.995,7116/57212,1210/57212=0.0211,0.0414
0.3,1197/1216=0.984,6370/37402,1197/37402=0.0320,0.0620
0.4,1175/1216=0.966,5671/26244,1175/26244=0.0448,0.0856
0.5,428/1216=0.352,4740/15103,428/15103=0.0283,0.0525
0.6,422/1216=0.347,4259/11745,422/11745=0.0359,0.0651
0.7,396/1216=0.326,573/7411,396/7411=0.0534,0.0918
0.8,396/1216=0.326,62/1269,396/1269=0.3121,0.3187
0.9,396/1216=0.326,0/855,396/855=0.4632,0.3824
